mse,train_loss,epoch,step
0.003478685161098838,-37509.859375,47,2399
0.003417687024921179,-55441.3671875,48,2449
0.0035695922560989857,-43694.2421875,49,2499
0.004337823484092951,-28787.234375,50,2549
0.0038171757478266954,-16869.587890625,51,2599
0.003674326930195093,-18986.81640625,52,2649
0.0034071735572069883,-47964.6015625,53,2699
0.003419871674850583,-44940.578125,54,2749
0.004141948651522398,-45481.1171875,55,2799
0.0035329305101186037,-54841.3359375,56,2849
0.0032695988193154335,-26954.736328125,57,2899
0.0028953158762305975,-42284.0625,58,2949
0.002971654525026679,-36404.1953125,59,2999
0.0030573164112865925,-29745.240234375,60,3049
0.003411318175494671,-37763.3984375,61,3099
0.003108177799731493,-38055.48828125,62,3149
0.003566320287063718,-27197.400390625,63,3199
0.003196959849447012,-35616.81640625,64,3249
0.0030444858130067587,-32293.4453125,65,3299
0.003736573737114668,-36026.671875,66,3349
0.0027631737757474184,-47849.19921875,67,3399
0.0031013283878564835,-48273.3515625,68,3449
0.004061810672283173,-15258.0263671875,69,3499
0.0032790093682706356,-46660.4765625,70,3549
0.0029138592071831226,-49267.0625,71,3599
0.0026182543952018023,-38648.484375,72,3649
0.00302437087520957,-31046.658203125,73,3699
0.0033295087050646544,-12409.05859375,74,3749
0.003099986119195819,-35745.04296875,75,3799
0.0035047971177846193,-17131.736328125,76,3849
0.004314044024795294,-24846.140625,77,3899
0.0024984623305499554,-41555.4140625,78,3949
0.003273680340498686,-18861.212890625,79,3999
0.00444123474881053,-31647.09765625,80,4049
0.0025371499359607697,-52104.375,81,4099
0.0029052391182631254,-39184.83203125,82,4149
0.002573600271716714,-36981.9609375,83,4199
0.0025840888265520334,-36604.0546875,84,4249
0.0024569688830524683,-45669.625,85,4299
0.0025144703686237335,-41031.6015625,86,4349
0.002527569653466344,-63825.90234375,87,4399
0.002965418854728341,-39261.984375,88,4449
0.0027957463171333075,-50683.68359375,89,4499
0.003027586033567786,-20580.5,90,4549
0.002704226179048419,-37416.046875,91,4599
0.002562314970418811,-45512.328125,92,4649
0.0027453252114355564,-29499.111328125,93,4699
0.0027468628250062466,-33961.1171875,94,4749
0.0024201939813792706,-29159.423828125,95,4799
0.0028026180807501078,-58629.3515625,96,4849
0.0025795630645006895,-52208.01953125,97,4899
0.0024919884745031595,-43823.171875,98,4949
0.002837191568687558,-25373.6484375,99,4999
0.0028525041416287422,-36042.765625,100,5049
0.0022693746723234653,-50249.67578125,101,5099
0.003106948919594288,-37268.671875,102,5149
0.002341722371056676,-55360.3203125,103,5199
0.002923073247075081,-51627.046875,104,5249
0.0024414039216935635,-41229.421875,105,5299
0.004021260421723127,-22233.896484375,106,5349
0.0026620798744261265,-45928.078125,107,5399
0.0025968942791223526,-49150.93359375,108,5449
0.0021836431697010994,-46356.8125,109,5499
0.0029321981128305197,-30328.07421875,110,5549
0.003304530866444111,-32415.16015625,111,5599
0.002268172800540924,-49067.109375,112,5649
0.0023327276576310396,-46629.765625,113,5699
0.0023665425833314657,-30633.625,114,5749
0.0033899275586009026,-48333.3125,115,5799
0.002290710574015975,-29907.828125,116,5849
0.0025697913952171803,-52494.328125,117,5899
0.002442604396492243,-27393.162109375,118,5949
0.0027315665502101183,-40017.0390625,119,5999
0.002202979288995266,-37722.16796875,120,6049
0.002241916721686721,-39450.76953125,121,6099
0.002365370048210025,-26623.7265625,122,6149
0.0019463666249066591,-64372.0859375,123,6199
0.002225069561973214,-39991.15625,124,6249
0.002339563798159361,-43915.72265625,125,6299
0.002093028509989381,-33079.46875,126,6349
0.00272560678422451,-28785.03515625,127,6399
0.002383059123530984,-36912.1484375,128,6449
0.0027911257930099964,-30077.17578125,129,6499
0.002156754955649376,-50577.55078125,130,6549
0.0025767225306481123,-25050.765625,131,6599
0.001980598783120513,-47264.953125,132,6649
0.002216797089204192,-36837.55078125,133,6699
0.0032849207054823637,-15261.2529296875,134,6749
